source,video_name,samples,accuracy,precision,recall,f1_score,confidence_mean,confidence_std
Entrega1,Video 1.mp4,81,0.7530864197530864,0.7625,0.7810439560439562,0.7591535001729904,0.47202382882669286,0.1493428737469404
Entrega1,Video 2.mp4,95,0.6736842105263158,0.7939344516930724,0.583984962406015,0.6267094017094017,0.4971423200176497,0.16232491512281447
Entrega1,Video 3.mp4,66,0.5454545454545454,0.3936243936243936,0.385752688172043,0.348084619782733,0.43737276827327587,0.16547462308848843
Entrega1,Video 4.mp4,93,0.6666666666666666,0.8147687400318979,0.5683731066797428,0.5824668227946915,0.5327714974000501,0.20639291076190042
Entrega1,Video 5.mp4,93,0.6989247311827957,0.5288461538461539,0.5014814814814814,0.49201633342720363,0.5059701866211824,0.19488721013221852
Entrega1,Video 6.mp4,76,0.7105263157894737,0.5776682228446934,0.5829647829647829,0.550563063063063,0.48811003263034464,0.16944876105730305
Entrega1,Video 7.mp4,97,0.6804123711340206,0.3884848484848485,0.4406592238171186,0.410936610662563,0.46979688741446557,0.17260861256165438
Entrega1,Video 8.mp4,73,0.684931506849315,0.5930434782608696,0.5788040503557745,0.5700000408752203,0.48539465375068847,0.17449473821544878
Entrega1,Video 9.mp4,84,0.7261904761904762,0.5809239766081872,0.5599744245524297,0.5504201680672269,0.5156148797555925,0.18726607150867983
Entrega1,Video 12.mp4,136,0.5955882352941176,0.7163789152024446,0.5539455940478958,0.5339269727878235,0.5067883311400242,0.18539559806505368
Entrega1,Video 18.mp4,160,0.78125,0.8092276674937965,0.7501365787694387,0.7547068157026081,0.57473714426213,0.18740567832194868
Entrega1,Video 10.mp4,77,0.7272727272727273,0.55506993006993,0.5980861244019138,0.5531468531468532,0.5282565939577363,0.17504363834383582
Entrega1,Video 11.mp4,110,0.6454545454545455,0.6849463434022257,0.5520363408521304,0.5483750884446019,0.48723530653869956,0.16338460953208428
Entrega1,Video 13.mp4,78,0.5128205128205128,0.6422657952069717,0.5761227071473751,0.5548936835522201,0.46066529095208564,0.16153637766455167
Entrega1,Video 14.mp4,180,0.8444444444444444,0.8225257501119569,0.8241170374616894,0.8161205449521685,0.5986582459366471,0.18676696490610661
Entrega1,Video 15.mp4,179,0.8435754189944135,0.663838438601247,0.6995624146311178,0.6761999321208848,0.6185184076221178,0.17443790471253193
Entrega1,Video 16.mp4,205,0.824390243902439,0.8154280303030303,0.8189821449780276,0.8046185412609091,0.5914654819021493,0.18093391789752225
Entrega1,Video 17.mp4,179,0.8156424581005587,0.8476875160434671,0.7451589723236582,0.7573933641912255,0.5752950992582624,0.1787649539729712
